url,filter
https://www.theatricalrights.com/show/addams-family-musical/,broadway
https://www.theatricalrights.com/show/all-shook-up/,broadway
https://www.theatricalrights.com/show/big-fish/,broadway
https://www.theatricalrights.com/show/big-fish-small-cast-edition/,broadway
https://www.theatricalrights.com/show/the-bodyguard/,broadway
https://www.theatricalrights.com/show/bright-star/,broadway
https://www.theatricalrights.com/show/the-color-purple/,broadway
https://www.theatricalrights.com/show/curtains/,broadway
https://www.theatricalrights.com/show/flashdance-the-musical/,broadway
https://www.theatricalrights.com/show/ghost-the-musical/,broadway
https://www.theatricalrights.com/show/ghost-musical-small-cast-edition/,broadway
https://www.theatricalrights.com/show/grease/,broadway
https://www.theatricalrights.com/show/jersey-boys/,broadway
https://www.theatricalrights.com/show/memphis/,broadway
https://www.theatricalrights.com/show/million-dollar-quartet-christmas/,broadway
https://www.theatricalrights.com/show/million-dollar-quartet/,broadway
https://www.theatricalrights.com/show/monty-pythons-spamalot/,broadway
https://www.theatricalrights.com/show/on-your-feet/,broadway
https://www.theatricalrights.com/show/priscilla-queen-of-the-desert/,broadway
https://www.theatricalrights.com/show/prom/,broadway
https://www.theatricalrights.com/show/ring-of-fire-broadway/,broadway
https://www.theatricalrights.com/show/ring-of-fire-small-cast-edition/,broadway
https://www.theatricalrights.com/show/we-will-rock-you/,broadway
https://www.theatricalrights.com/show/the-wind-in-the-willows/,broadway
